states,year,proportion,igt,lg(igt),f,cl,population,lg(pl),wapw,mhi
Wyoming,2000,0.00167083,402769288,8.605056347,9,republican,493.782,2.693535254,0.6747,57.947
Idaho,2000,0.00456982,1101599742,9.042023826,9,republican,1299.43,3.113752889,0.6534,54.996
Kansas,2000,0.00958118,2309640000,9.363544292,9,republican,2693.681,3.430346163,0.6491,60.038
Nebraska,2000,0.00646187,1557699000,9.192483541,9,republican,1713.82,3.233965207,0.6489,61.048
North Dakota,2000,0.00379941,915885731,8.961841293,9,republican,642.023,2.807550587,0.6511,52.635
Utah,2000,0.0065641,1582343000,9.19930063,9,republican,2244.502,3.351119997,0.649,69.529
Maryland,2000,0.01648605,3974128000,9.599241851,12,democratic,5311.034,3.725179082,0.6728,79.743
Massachusetts,2000,0.02527443,6092655000,9.784806587,10,democratic,6361.104,3.803532496,0.6667,68.364
Rhode Island,2000,0.00521531,1257203000,9.099405409,10,democratic,1050.268,3.021300133,0.6575,61.702
New York State,2000,0.10696922,25786000000,10.41138398,10,democratic,19001.78,4.278794286,0.6646,59.577
Delaware,2000,,,,11,democratic,786.373,2.895628594,0.6631,73.646
Washington,2000,0.02349838,5664520000,9.753163115,12,democratic,5910.512,3.771625103,0.6752,62.182
Pennsylvania,2000,0.046919,11310294000,10.05347389,9,swing,12284.173,4.089345924,0.6473,61.671
Iowa,2000,,,,11,swing,2929.067,3.466729306,0.6459,59.939
Nevada,2000,0.00449778,1084235000,9.035123423,10,swing,2018.741,3.305080603,0.6734,66.909
Wisconsin,2000,0.01819228,4385431000,9.642012282,9,swing,5373.999,3.730297581,0.6597,65.929
Ohio,2000,0.03871602,9332884000,9.970015868,9,swing,11363.543,4.05551376,0.6564,62.821
Florida,2000,,,,9,swing,16047.515,4.20540779,,56.817
Wyoming,2001,0.00158792,429329500,8.632790731,1,republican,494.657,2.694304159,0.677,56.471
Idaho,2001,0.00469191,1268560274,9.103311107,1,republican,1319.962,3.120561429,0.6547,54.37
Kansas,2001,0.00947926,2562927000,9.408736236,1,republican,2702.162,3.431711382,0.6517,58.882
Nebraska,2001,0.00588645,1591531000,9.201815102,1,republican,1719.836,3.235487035,0.6512,62.004
North Dakota,2001,0.00325597,880323817,8.944642452,1,republican,639.062,2.805542994,0.6558,50.889
Utah,2001,0.00633386,1712499000,9.233630327,1,republican,2283.715,3.358641904,0.6506,67.309
Maryland,2001,0.01646348,4451265000,9.64848345,4,democratic,5374.691,3.730353501,0.6745,76.107
Massachusetts,2001,0.02367658,6401485000,9.806280732,2,democratic,6397.634,3.806019391,0.6695,74.291
Rhode Island,2001,0.00523976,1416685000,9.151273296,2,democratic,1057.142,3.024133328,0.661,65.007
New York State,2001,0.09708106,26248000000,10.41909622,2,democratic,19082.838,4.280642963,0.6667,59.876
Delaware,2001,,,,3,democratic,795.699,2.900748812,0.6649,70.522
Washington,2001,0.02275189,6151475000,9.788979263,4,democratic,5985.722,3.777116543,0.6785,60.411
Pennsylvania,2001,0.04513687,12203746000,10.08649316,1,swing,12298.97,4.089868742,0.6499,61.845
Iowa,2001,,,,3,swing,2931.997,3.467163522,0.6476,58.258
Nevada,2001,0.00439082,1187155000,9.074507426,2,swing,2098.399,3.321888071,0.6739,64.552
Wisconsin,2001,0.01892789,5117572000,9.709063962,1,swing,5406.835,3.732943116,0.6624,64.471
Ohio,2001,0.03865046,10450001000,10.01911633,1,swing,11387.404,4.056424729,0.6579,59.408
Florida,2001,,,,1,swing,16356.966,4.213702751,,51.782
Wyoming,2002,0.00161298,479726003,8.68099326,1,republican,500.017,2.69898477,0.6797,55.656
Idaho,2002,0.00447344,1330473676,9.124006286,1,republican,1340.372,3.127225347,0.6551,52.79
Kansas,2002,0.00893494,2657395000,9.424456114,1,republican,2713.535,3.433535428,0.6542,59.654
Nebraska,2002,0.00601722,1789617000,9.252760097,1,republican,1728.292,3.23761712,0.653,59.901
North Dakota,2002,0.00308517,917579621,8.96264376,1,republican,638.168,2.804935023,0.6591,50.669
Utah,2002,0.00624202,1856477000,9.268689573,1,republican,2324.815,3.366388399,0.6518,66.991
Maryland,2002,0.01658252,4931908000,9.693014967,4,democratic,5440.389,3.735629954,0.6766,78.953
Massachusetts,2002,0.02379982,7078446000,9.849937923,2,democratic,6417.206,3.807345981,0.6721,69.782
Rhode Island,2002,0.00500016,1487126000,9.172347767,2,democratic,1065.995,3.027755168,0.6648,59.371
New York State,2002,0.10092314,30016155000,10.47735506,2,democratic,19137.8,4.281892012,0.6688,58.74
Delaware,2002,0.00229185,681633000,8.833550608,3,democratic,806.169,2.906426094,0.6665,69.495
Washington,2002,0.02210471,6574295000,9.817849188,4,democratic,6052.349,3.781923963,0.6811,63.243
Pennsylvania,2002,0.04458221,13259463000,10.12252594,1,swing,12331.031,4.09099939,0.6528,59.484
Iowa,2002,,,,3,swing,2934.234,3.467494745,0.6495,57.456
Nevada,2002,0.00452985,1347250769,9.12944844,2,swing,2173.791,3.337217786,0.6741,62.928
Wisconsin,2002,0.01852568,5509834000,9.741138515,1,swing,5445.162,3.736010805,0.6649,64.25
Ohio,2002,0.03945462,11734436000,10.06946222,1,swing,11407.889,4.057205287,0.6597,59.745
Florida,2002,,,,1,swing,16689.37,4.222439943,,53.222
Wyoming,2003,0.00167099,558634356,8.747127641,3,republican,503.453,2.701958933,0.6806,58.241
Idaho,2003,0.00432998,1447573835,9.160640725,1,republican,1363.38,3.134616919,0.6558,57.991
Kansas,2003,0.00816698,2730334000,9.436215777,3,republican,2723.004,3.435048279,0.6553,60.537
Nebraska,2003,0.00540324,1806377000,9.256808395,1,republican,1738.643,3.240210416,0.6547,60.184
North Dakota,2003,0.00282023,942842014,8.974438927,1,republican,638.817,2.805376465,0.6625,55.306
Utah,2003,0.00613173,2049922000,9.311737336,1,republican,2360.137,3.372937213,0.6518,67.439
Maryland,2003,0.01647116,5506539000,9.740878719,2,democratic,5496.269,3.74006798,0.6785,71.598
Massachusetts,2003,0.0220274,7364068000,9.86711779,2,democratic,6422.565,3.807708508,0.6747,69.738
Rhode Island,2003,0.00477858,1597545000,9.2034531,2,democratic,1071.342,3.029928131,0.6683,61.192
New York State,2003,0.10562525,35312000000,10.54792232,2,democratic,19175.939,4.28275664,0.6711,58.56
Delaware,2003,0.00213616,714148000,8.853788224,3,democratic,818.003,2.912754896,0.6682,67.088
Washington,2003,0.02086041,6973926000,9.843477335,4,democratic,6104.115,3.785622707,0.6828,65.02
Pennsylvania,2003,0.04359888,14575716000,10.1636299,3,swing,12374.658,4.092533205,0.6558,58.759
Iowa,2003,,,,3,swing,2941.999,3.468642521,0.6507,56.639
Nevada,2003,0.00497383,1662820264,9.220845308,2,swing,2248.85,3.351960489,0.6743,61.84
Wisconsin,2003,0.01790131,5984658000,9.777039337,3,swing,5479.203,3.738717391,0.667,63.324
